participantId,metadata_participant_id,question_id,question_topic,question_split,candidate_metadata_provenance,candidate_metadata_generative_model_template_name,is_model_mediator,is_human_mediator,is_no_mediator,template_with_critiques,agree_pre,agree_post,belief_change,abs_belief_change,wc_initial,wc_all,view_change,view_movement,own_influence,unwanted_pressure,best_expression
0001a32323__S173964292,0001a32323,S173964292,103,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,6.0,4.0,-2.0,2.0,70,70,NO,CLOSER_TO_CONSENSUS,YES,NO,FINAL_CONSENSUS
0001a32323__S173965578,0001a32323,S173965578,1,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,7.0,4.0,-3.0,3.0,50,50,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
0001a32323__S173968434,0001a32323,S173968434,39,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,7.0,7.0,0.0,0.0,75,75,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
000876ef14__S173961517,000876ef14,S173961517,84,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,7.0,6.0,-1.0,1.0,102,102,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
000876ef14__S173963596,000876ef14,S173963596,99,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,1.0,1.0,0.0,0.0,62,62,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
000876ef14__S173967311,000876ef14,S173967311,58,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,6.0,7.0,1.0,1.0,41,41,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
000afe7cc9__S173961981,000afe7cc9,S173961981,6,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,5.0,5.0,0.0,0.0,59,59,NO,NO_CHANGE,NO,NO,OWN_OPINION
000afe7cc9__S173965066,000afe7cc9,S173965066,90,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,6.0,7.0,1.0,1.0,59,59,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
000afe7cc9__S173965846,000afe7cc9,S173965846,58,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,7.0,7.0,0.0,0.0,63,63,NO,NO_CHANGE,YES,NO,OWN_OPINION
0020b95cd8__S173962791,0020b95cd8,S173962791,46,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,7.0,7.0,0.0,0.0,98,98,NO,NO_CHANGE,YES,NO,OWN_OPINION
0020b95cd8__S173965737,0020b95cd8,S173965737,50,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,1.0,1.0,0.0,0.0,159,159,NO,NO_CHANGE,YES,NO,OWN_OPINION
0020b95cd8__S173967300,0020b95cd8,S173967300,43,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,6.0,6.0,0.0,0.0,73,73,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
0029bb3f4f__S173963459,0029bb3f4f,S173963459,25,IID_TEST,HUMAN_CITIZEN,,0,0,1,0,5.0,6.0,1.0,1.0,102,102,NO,CLOSER_TO_CONSENSUS,YES,NO,FINAL_CONSENSUS
0029bb3f4f__S173963738,0029bb3f4f,S173963738,104,IID_TEST,HUMAN_CITIZEN,,0,0,1,0,6.0,7.0,1.0,1.0,126,126,NO,CLOSER_TO_CONSENSUS,NO,NO,FINAL_CONSENSUS
003030d5aa__S173966921,003030d5aa,S173966921,6,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,2.0,3.0,1.0,1.0,73,73,YES,CLOSER_TO_CONSENSUS,YES,NO,FINAL_CONSENSUS
003030d5aa__S173968744,003030d5aa,S173968744,16,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,5.0,7.0,2.0,2.0,74,74,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
003030d5aa__S173970681,003030d5aa,S173970681,26,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,4.0,4.0,0.0,0.0,86,86,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
003503a174__S173960625,003503a174,S173960625,40,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,5.0,5.0,0.0,0.0,53,53,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
003503a174__S173965370,003503a174,S173965370,16,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,5.0,5.0,0.0,0.0,35,35,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
003503a174__S173966796,003503a174,S173966796,51,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,6.0,6.0,0.0,0.0,32,32,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
005149f53c__S173964380,005149f53c,S173964380,36,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,6.0,7.0,1.0,1.0,42,42,NO,NO_CHANGE,NO,NO,OWN_OPINION
005149f53c__S173968328,005149f53c,S173968328,24,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,7.0,4.0,-3.0,3.0,47,47,NO,NO_CHANGE,NO,NO,OWN_OPINION
005149f53c__S173968414,005149f53c,S173968414,82,IID_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,2.0,1.0,-1.0,1.0,30,30,NO,NO_CHANGE,NO,NO,FINAL_CONSENSUS
005170c057__S173964057,005170c057,S173964057,26,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,5.0,7.0,2.0,2.0,38,38,NO,NO_CHANGE,YES,NO,FINAL_CONSENSUS
005170c057__S173966609,005170c057,S173966609,82,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,5.0,6.0,1.0,1.0,35,35,NO,NO_CHANGE,YES,NO,OWN_OPINION
005170c057__S173969403,005170c057,S173969403,59,TRAIN,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,5.0,5.0,0.0,0.0,53,53,YES,SOME_OTHER_WAY,NO,NO,FINAL_CONSENSUS
00518298c6__S173963874,00518298c6,S173963874,28,OOD_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,6.0,3.0,-3.0,3.0,93,93,YES,CLOSER_TO_CONSENSUS,YES,NO,FINAL_CONSENSUS
00518298c6__S173967485,00518298c6,S173967485,27,OOD_TEST,MODEL_MEDIATOR,PARTICIPANT_GROUP,1,0,0,1,2.0,3.0,1.0,1.0,87,87,NO,NO_CHANGE,YES,NO,OWN_OPINION
