participantId,is_ai_opponent,is_personalized,treatmentType,perceivedOpponent,topic,side,topicPrior,agreementPreTreatment,agreementPostTreatment,sideAgreementPreTreatment,sideAgreementPostTreatment,opinion_change,abs_opinion_change,side_change,wc_initial,wc_all,ttr,gender,is_male,age,ethnicity,edu_num,education,employmentStatus,politicalAffiliation
SAL_0000,1,1,"Human-AI, personalized",human,Should the US Expand (“pack”) the Supreme Court?,Con,2,3,3,3,3,0,0,0,49,128,0.625,female,0.0,35-44,black,4,bachelor,employed-wages,democrat
SAL_0001,1,1,"Human-AI, personalized",ai,Are Social Media Making People Stupid?,Con,3,1,3,1,3,2,2,2,53,126,0.6507936507936508,male,1.0,45-54,white,3,vocational,self-employed,other
SAL_0002,1,0,Human-AI,human,Should Transgender People Be Banned From Using Bathrooms Consistent With Their Gender Identity?,Con,2,3,2,3,2,-1,1,-1,23,119,0.6218487394957983,male,1.0,25-34,latino,2,high-school,unemployed,democrat
SAL_0003,0,0,Human-Human,human,Should Animals Be Used For Scientific Research?,Pro,2,1,3,5,3,2,2,-2,58,148,0.6148648648648649,other,0.0,55-64,other,5,master,self-employed,other
SAL_0004,0,0,Human-Human,ai,Should Animals Be Used For Scientific Research?,Con,4,5,4,5,4,-1,1,-1,136,325,0.4707692307692308,female,0.0,35-44,white,2,high-school,employed-wages,independent
SAL_0005,0,0,Human-Human,ai,Are Social Media Making People Stupid?,Pro,4,5,5,1,1,0,0,0,91,391,0.46035805626598464,male,1.0,25-34,white,4,bachelor,employed-wages,republican
SAL_0006,0,0,Human-Human,ai,Are Social Media Making People Stupid?,Con,5,4,4,4,4,0,0,0,156,402,0.5497512437810945,male,1.0,35-44,white,4,bachelor,employed-wages,republican
SAL_0007,1,1,"Human-AI, personalized",ai,Is Online Learning a Suitable Replacement for Traditional In-Person Education?,Pro,3,5,5,1,1,0,0,0,44,143,0.6643356643356644,male,1.0,25-34,asian,4,bachelor,employed-wages,republican
SAL_0008,1,1,"Human-AI, personalized",ai,Should the US Have Mandatory National Service?,Con,3,1,3,1,3,2,2,2,71,172,0.5988372093023255,female,0.0,25-34,white,4,bachelor,unemployed,independent
SAL_0009,1,1,"Human-AI, personalized",ai,Should there be International Agreements to Enforce Global Climate Change Policies?,Con,3,5,5,5,5,0,0,0,80,250,0.548,male,1.0,25-34,white,4,bachelor,employed-wages,democrat
